Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
164;505809;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
165;475006;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
166;1399806;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
167;498003;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
168;517002;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
169;474419;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
170;506174;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
171;456976;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
172;501896;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
173;476053;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
174;493652;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
175;485845;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
176;1075693;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
177;526650;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
178;463144;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
179;529545;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
180;463904;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
181;523280;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
182;465641;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
183;520959;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
184;455296;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
185;509547;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
186;458138;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
187;519176;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
188;455283;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
189;496908;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
190;459685;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
191;528535;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
192;459877;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
193;492998;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
194;457856;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
195;523521;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
196;465129;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
197;482435;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
198;456144;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
199;497717;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
200;470057;410529792;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
201;494434;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
202;452736;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
203;495424;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
204;483966;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
205;492159;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
206;486453;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
207;499574;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
208;1059656;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
209;481175;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
210;516821;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
211;465729;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
212;501575;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
213;473971;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
214;509884;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
215;481278;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
216;497695;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
217;473708;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
218;506419;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
219;477995;410796032;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
220;503347;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
221;472158;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
222;507009;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
223;970693;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
224;524938;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
225;499983;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
226;466573;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
227;491579;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
228;461975;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
229;505505;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
230;457604;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
231;490543;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
232;478919;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
233;528910;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
234;459461;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
235;541451;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
236;454801;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
237;497359;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
238;461893;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
239;1030478;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
240;505167;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
241;457882;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
242;495388;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
243;465973;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
244;504443;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
245;459302;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
246;494632;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
247;457715;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
248;483703;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
249;471292;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
250;502436;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
251;489718;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
252;509649;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
253;474604;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
254;480613;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
255;498311;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
256;512354;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
257;479888;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
258;493768;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
259;477060;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
260;501001;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
261;492396;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
262;480745;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
263;464967;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
264;524191;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
265;497830;411062272;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
266;523714;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
