Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
88215,5180686,23121199104,51273728,79657742336,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88216,9124953,23121199104,51273728,79657742336,5284070,0,1136591,237425,0,0,0,0,0,5761,0.0,8364.0,0.0,4.0
88217,5133398,23121199104,51273728,79657742336,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88218,3822549,23121190912,51265536,79657734144,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88219,10538083,23121985536,51265536,79657734144,5266136,0,1132524,228729,0,0,0,0,0,6362,0.0,8364.0,0.0,4.0
88220,4226927,23121985536,51265536,79657734144,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88221,10671473,23121985536,51265536,79657734144,5499334,0,1130550,228939,0,0,0,0,0,6201,0.0,8364.0,0.0,4.0
88222,4130146,23121985536,51265536,79657734144,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88223,5108601,23121985536,51265536,79657734144,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88224,10203907,23126175744,51261440,79674507264,5797513,0,1114841,234089,0,0,0,0,0,6062,0.0,8364.0,0.0,4.0
88225,5317141,23126175744,51261440,79674507264,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88226,10003591,23126175744,51261440,79674507264,5593910,0,1132744,355828,0,0,0,0,0,5800,0.0,8364.0,0.0,4.0
88227,5202456,23126175744,51261440,79674507264,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88228,14448176,23126441984,51265536,79674511360,10364778,0,1120531,237025,0,0,0,0,0,6152,0.0,8364.0,0.0,4.0
88229,6965133,23141629952,106389504,79729635328,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88230,11175558,23156310016,106389504,79729635328,5543767,0,1113188,229420,0,0,0,0,0,6652,0.0,8364.0,0.0,4.0
88231,13064361,23171244032,106389504,79729635328,6371359,0,1120351,194495,0,0,0,0,0,5000,0.0,8364.0,0.0,4.0
88232,2660239,23171244032,106389504,79729635328,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88233,4615947,23171244032,106389504,79729635328,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88234,7671547,23171244032,106389504,79729635328,4445386,0,1101306,204333,0,0,0,0,0,4398,0.0,8364.0,0.0,4.0
88235,4820050,23171244032,106389504,79729635328,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88236,7211745,23126597632,61648896,79684894720,4371779,0,1102328,194735,0,0,0,0,0,4579,0.0,8364.0,0.0,4.0
88237,4635032,23126597632,61648896,79684894720,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88238,2426491,23126597632,61652992,79684898816,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
