Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
176;3725797;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1964;0;0;1;0;
177;2571824;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1953;0;0;1;0;
178;650319;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1243;0;0;1;0;
179;639399;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1242;0;0;1;0;
180;694241;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1242;0;0;1;0;
181;646563;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1263;0;0;1;0;
182;626986;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1232;0;0;1;0;
183;658295;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1213;0;0;1;0;
184;630783;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
185;761979;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
186;613601;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
187;629711;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1233;0;0;1;0;
188;638377;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1503;0;0;1;0;
189;643837;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1202;0;0;1;0;
190;648506;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1202;0;0;1;0;
191;632467;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1232;0;0;1;0;
192;683041;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
193;698971;500928512;9527296;447455232;0;0;0;0;0;0;0;0;0;1272;0;0;1;0;
194;621326;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1243;0;0;1;0;
195;613080;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1233;0;0;1;0;
196;656221;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1233;0;0;1;0;
197;622307;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1233;0;0;1;0;
198;678252;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
199;654727;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1283;0;0;1;0;
200;1515182;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1263;0;0;1;0;
201;654467;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1252;0;0;1;0;
202;649999;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1262;0;0;1;0;
203;607319;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1222;0;0;1;0;
204;611577;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1193;0;0;1;0;
205;610545;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1203;0;0;1;0;
