Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
82031,8739910,42738798592,123928576,149814079488,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82032,7309117,42697601024,71593984,149761744896,3880718,0,1404715,65843,0,0,0,0,0,4919,0.0,267.0,0.0,100.0
82033,5195994,42697601024,71593984,149761744896,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82034,10169272,42702331904,71593984,149778522112,5348591,0,1416316,108694,0,0,0,0,0,4558,0.0,267.0,0.0,100.0
82035,8876587,42706526208,71593984,149795299328,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82036,6115428,42706526208,71593984,149795299328,2877727,0,1418601,87063,0,0,0,0,0,4388,0.0,267.0,0.0,100.0
82037,5095246,42706526208,71593984,149795299328,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82038,4494920,42708623360,71593984,149812076544,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82039,5312283,42710712320,71585792,149812068352,2988154,0,1408201,81763,0,0,0,0,0,4339,0.0,267.0,0.0,100.0
82040,5083073,42710712320,71585792,149812068352,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82041,4707990,42710982656,71585792,149812068352,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82042,7567552,42710982656,71585792,149812068352,2920838,0,1398743,103545,0,0,0,0,0,12874,0.0,267.0,0.0,100.0
82043,5325507,42715414528,71589888,149828849664,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82044,2077136,42715414528,71589888,149828849664,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82045,4560222,42715414528,71589888,149828849664,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82046,8040609,42715414528,71589888,149828849664,3570927,0,1431715,155772,0,0,0,0,0,5972,0.0,267.0,0.0,100.0
82047,6361520,42715414528,71589888,149845626880,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
