Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Unnamed: 21
7967,805869,414134272,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7968,1276989,414134272,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7969,795741,414134272,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7970,5611520,414134272,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7971,2274698,414138368,16429056,535097344,1030672,0,33698,0,0,0,0,0,0,4106,378.0,558.0,0.0,76.0,0.0,1.0,
7972,1680314,414388224,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7973,864754,414388224,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7974,1456363,414392320,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7975,866419,414392320,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7976,5784981,414392320,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7977,1347140,414392320,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7978,1756169,414392320,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7979,2253921,414617600,16429056,551874560,1046166,0,41732,0,0,0,0,0,0,5015,378.0,558.0,0.0,76.0,0.0,1.0,
7980,1880915,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7981,1185625,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7982,6173180,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7983,1395967,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7984,1734101,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7985,1051841,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7986,2723194,414617600,16429056,551874560,1645770,0,35527,0,0,0,0,0,0,4827,378.0,558.0,0.0,76.0,0.0,1.0,
7987,1125942,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7988,6173525,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7989,1276604,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7990,1431570,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7991,828956,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7992,1320338,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7993,829584,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7994,5189193,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7995,3711375,414617600,16429056,551874560,1167496,0,58624,0,0,0,0,0,0,4286,378.0,558.0,0.0,76.0,0.0,1.0,
7996,1862065,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7997,1228357,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7998,1758907,414617600,16429056,551874560,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
